lifehist,ModeReproduction,Symbionts,spp_phylo,species_name,Location_name,ABSLatitude,Eggs_per_area1,Eggs_per_area,eggsize,lg.eggsize,sstmean,sstvarall,chlamean,obs
HHT,Hermaphrodite,No,ACR_Acropora_digitifera,Acropora digitifera,Heron-Island,23.43735,387,386.8930745,75062751.34,18.09424108,24.39077,4.426336301,0.4277969,1
HHT,Hermaphrodite,No,ACR_Acropora_gemmifera,Acropora gemmifera,ScottReef-W-Australia,14.001409,959,959.1272727,158563768.1,18.79860867,28.78224,2.197272582,0.2765393,2
HHT,Hermaphrodite,No,ACR_Acropora_glauca,Acropora glauca,Solitary-Islands_Australia,29.924725,220,220.1478093,218964673.2,19.16107532,22.32569,4.45862651,0.7583831,3
HHT,Hermaphrodite,No,ACR_Acropora_hyacinthus,Acropora hyacinthus,Eilat_Israel,29.509704,2240,2240,27611654.18,17.13374849,24.18318,5.098983997,0.1745565,4
HHT,Hermaphrodite,No,ACR_Acropora_hyacinthus,Acropora hyacinthus,Heron-Island,23.43735,343,343.2254571,119494944.7,18.57186743,24.39077,4.426336301,0.4277969,5
HHT,Hermaphrodite,No,ACR_Acropora_hyacinthus,Acropora hyacinthus,Lizard-Island,14.686824,625,624.512,97643333.32,18.35517609,26.4547,3.842254668,0.2906735,6
HHT,Hermaphrodite,No,ACR_Acropora_hyacinthus,Acropora hyacinthus,ScottReef-W-Australia,14.001409,648,648.0253968,153180998.3,18.76666646,28.78224,2.197272582,0.2765393,7
HHT,Hermaphrodite,No,ACR_Acropora_hyacinthus,Acropora hyacinthus,Solitary-Islands_Australia,29.924725,322,321.9523755,115418029.6,18.51721846,22.32569,4.45862651,0.7583831,8
HHT,Hermaphrodite,No,ACR_Acropora_millepora,Acropora millepora,Heron-Island,23.43735,282,282.3186161,73677366.7,17.94518174,24.39077,4.426336301,0.4277969,9
HHT,Hermaphrodite,No,ACR_Acropora_millepora,Acropora millepora,Ningaloo-Reef-Australia,23.17,1021,1020.51,110850435,18.52369242,24.54691,3.538341578,0.4856855,10
HHT,Hermaphrodite,No,ACR_Acropora_nana,Acropora nana,Lizard-Island,14.686824,223,223.05,62496153.84,17.90833577,26.4547,3.842254668,0.2906735,11
HHT,Hermaphrodite,No,ACR_Acropora_nana,Acropora nana,MombasaMNP-Kenya,4.026741,530,530,62739258.29,17.95449794,27.07738,1.469125806,0.2810418,12
HHT,Hermaphrodite,No,ACR_Acropora_solitaryensis,Acropora solitaryensis,Solitary-Islands_Australia,29.924725,314,314.028379,208776446.2,19.12060357,22.32569,4.45862651,0.7583831,13
HHT,Hermaphrodite,No,ACR_Acropora_spathulata,Acropora spathulata,Heron-Island,23.43735,410,410.1800528,100421391.8,18.40101437,24.39077,4.426336301,0.4277969,14
HHT,Hermaphrodite,No,ACR_Acropora_tenella,Acropora tenella,Sesoko-Island_Okinawa,26.654282,99,99,74307559.64,18.12019446,24.90274,8.281658017,0.3931716,15
HHT,Hermaphrodite,No,ACR_Acropora_valida,Acropora valida,Heron-Island,23.43735,221,221.0541451,88310280.07,18.27633422,24.39077,4.426336301,0.4277969,16
HHT,Hermaphrodite,No,ACR_Acropora_valida,Acropora valida,Solitary-Islands_Australia,29.924725,189,189.3018157,102099050.2,18.3838535,22.32569,4.45862651,0.7583831,17
HHT,Hermaphrodite,No,FAV_Cyphastrea_salae,Cyphastrea salae,Solitary-Islands_Australia,29.924725,711,711.4906463,14384583.91,16.47252203,22.32569,4.45862651,0.7583831,18
HHT,Hermaphrodite,No,FAV_Cyphastrea_serailia,Cyphastrea serailia,Heron-Island,23.43735,1120,1120.452418,9927593.469,16.09311093,24.39077,4.426336301,0.4277969,19
HHT,Hermaphrodite,No,FAV_Cyphastrea_serailia,Cyphastrea serailia,Solitary-Islands_Australia,29.924725,1017,1017.093316,15693409.61,16.55409516,22.32569,4.45862651,0.7583831,20
HHT,Hermaphrodite,No,FAV_Diploria_strigosa,Pseudodiploria strigosa,Bermuda,32.368431,350,350,44602238.1,17.6132946,23.27112,13.25246848,0.4973353,21
HHT,Hermaphrodite,No,FAV_Diploria_strigosa,Pseudodiploria strigosa,Puerto-Rico,18.4602,486,486,33510321.64,17.32736406,27.54188,1.154481483,0.3141232,22
HHT,Hermaphrodite,No,FAV_Favia_favus,Dipsastraea favus,Eilat_Israel,29.509704,891,891.1,32269327.09,17.28962771,24.18318,5.098983997,0.1745565,23
HHT,Hermaphrodite,No,FAV_Favia_favus,Dipsastraea favus,Lizard-Island,14.686824,1528,1527.8,44939435.71,17.50403861,26.4547,3.842254668,0.2906735,24
HHT,Hermaphrodite,No,FAV_Goniastrea_aspera,Coelastrea aspera,Geoffrey-Bay_Magnetic-Island,19.156016,1094,1094,23439160.99,16.9690262,25.73539,9.067469978,3.2740746,25
HHT,Hermaphrodite,No,FAV_Goniastrea_aspera,Coelastrea aspera,Pioneer-Bay_Orpheus-Island,18.609756,901,901,22257424.21,16.91818618,26.12825,6.534270913,1.118393,26
HHT,Hermaphrodite,No,FAV_Goniastrea_edwardsi,Goniastrea edwardsi,Heron-Island,23.43735,332,331.8634592,11456787.77,16.2389439,24.39077,4.426336301,0.4277969,27
HHT,Hermaphrodite,No,FAV_Goniastrea_favulus,Goniastrea favulus,Geoffrey-Bay_Magnetic-Island,19.156016,340,340,59786995.29,17.88088164,25.73539,9.067469978,3.2740746,28
HHT,Hermaphrodite,No,FAV_Goniastrea_favulus,Goniastrea favulus,Heron-Island,23.43735,420,420,69455901.18,18.05620259,24.39077,4.426336301,0.4277969,29
HHT,Hermaphrodite,No,FAV_Leptoria_phrygia,Leptoria phrygia,MombasaMNP-Kenya,4.026741,644,644,7157104.373,15.78361604,27.07738,1.469125806,0.2810418,30
HHT,Hermaphrodite,No,FAV_Montastraea_annularis,Orbicella annularis,Puerto-Rico,18.4602,938,937.56,14137166.94,16.46431784,27.54188,1.154481483,0.3141232,31
HHT,Hermaphrodite,No,FAV_Montastraea_curta,Astrea curta,Heron-Island,23.43735,515,514.9000695,29204930.19,17.17653057,24.39077,4.426336301,0.4277969,32
HHT,Hermaphrodite,No,FAV_Montastraea_curta,Astrea curta,Solitary-Islands_Australia,29.924725,210,210.3594981,28914921.72,17.16055264,22.32569,4.45862651,0.7583831,33
HHT,Hermaphrodite,No,FAV_Platygyra_daedalea,Platygyra daedalea,MombasaMNP-Kenya,4.026741,671,671,9044410.481,16.0176575,27.07738,1.469125806,0.2810418,34
HHT,Hermaphrodite,No,FAV_Platygyra_sinensis,Platygyra sinensis,Geoffrey-Bay_Magnetic-Island,19.156016,328,327.5,34782732.11,17.36463162,25.73539,9.067469978,3.2740746,35
HHT,Hermaphrodite,No,MUS_Lobophyllia_corymbosa,Lobophyllia corymbosa,Lizard-Island,14.686824,357,356.5,166995284.5,18.87847471,26.4547,3.842254668,0.2906735,36
