index,lifehist,ModeReproduction,Symbionts,family_molecules,genus,spp_phylo,species_name,Location_name,ABSLatitude,volume,lg.eggsize,sstmean,sstvarall,chlamean
1,GHT,Gonochore,No,Agariciidae,Gardineroseris,AGA_Gardineroseris_planulata,Gardineroseris planulata,Galapagos-Equatorial-Eastern-Pacific,0.769806,1563457.574,14.26241032,23.70007,4.37962349,0.458283
2,GHT,Gonochore,No,Pachyseridae,Pachyseris,AGA_Pachyseris_rugosa,Pachyseris rugosa,Tiao-Shi-Nanwan-Kenting_Taiwan,21.957822,20398475.79,16.83097074,26.69642,3.871768518,0.3044986
3,GHT,Gonochore,No,Pachyseridae,Pachyseris,AGA_Pachyseris_speciosa,Pachyseris speciosa,Orpheus,18.636954,26094085.31,17.07721923,26.11052,6.357074713,0.8734128
4,GHT,Gonochore,No,Pachyseridae,Pachyseris,AGA_Pachyseris_speciosa,Pachyseris speciosa,Pioneer-Bay_Orpheus-Island,18.609756,26094085.31,17.07721923,26.12825,6.534270913,1.118393
5,GHT,Gonochore,No,Pachyseridae,Pachyseris,AGA_Pachyseris_speciosa,Pachyseris speciosa,Tiao-Shi-Nanwan-Kenting_Taiwan,21.957822,16210169.82,16.60114937,26.69642,3.871768518,0.3044986
6,GHT,Gonochore,No,Agariciidae,Pavona,AGA_Pavona_decussata,Pavona decussata,Dampier_Australia,20.4645,523598.7732,13.16848097,26.59857,6.735223943,0.896987
7,GHT,Gonochore,No,Agariciidae,Pavona,AGA_Pavona_decussata,Pavona decussata,Kochi-Japan,32.779252,1767145.87,14.3848763,22.31384,14.64816405,0.462288
8,GHT,Gonochore,No,Agariciidae,Pavona,AGA_Pavona_gigantea,Pavona gigantea,Galapagos-Equatorial-Eastern-Pacific,0.769806,5276669.288,15.47880564,23.70007,4.37962349,0.458283
9,GHT,Gonochore,No,Agariciidae,Pavona,AGA_Pavona_varians,Pavona varians,Eilat_Israel,29.509704,65449.84676,11.08903943,24.18318,5.098983997,0.1745565
10,GHT,Gonochore,No,Dendrophylliidae,Turbinaria,DEN_Turbinaria_mesenterina,Turbinaria mesenterina,Dampier_Australia,20.4645,14137166.93,16.46431784,26.59857,6.735223943,0.896987
11,GHT,Gonochore,No,Dendrophylliidae,Turbinaria,DEN_Turbinaria_mesenterina,Turbinaria mesenterina,Pioneer-Bay_Orpheus-Island,18.609756,78393884.62,18.17725648,26.12825,6.534270913,1.118393
12,GHT,Gonochore,No,Dendrophylliidae,Turbinaria,DEN_Turbinaria_mesenterina,Turbinaria mesenterina,Solitary-Islands_Australia,29.924725,32697837.43,17.3028195,22.32569,4.45862651,0.7583831
13,GHT,Gonochore,No,Diploastraeidae,Diploastrea,FAV_Diploastrea_heliopora,Diploastrea heliopora,Raffles-lighthouse_Singapore,1.159595,12770050.59,16.36261319,29.39299,1.170178736,3.2009154
14,GHT,Gonochore,No,Montastraeidae,Montastraea,FAV_Montastraea_cavernosa,Montastraea cavernosa,Puerto-Rico,18.4602,22449297.5,16.92676988,27.54188,1.154481483,0.3141232
15,GHT,Gonochore,No,Montastraeidae,Montastraea,FAV_Montastraea_cavernosa,Montastraea cavernosa,Santa-Marta_Colombia,11.255773,21688370.21,16.89228674,27.25782,2.517623237,1.0369529
16,GHT,Gonochore,No,Plesiastreidae,Plesiastrea,FAV_Plesiastrea_versipora,Plesiastrea versipora,Sydney,33.801003,72355283.84,18.09709904,19.85537,4.638496916,0.6971464
17,GHT,Gonochore,No,Fungiidae,Ctenactis,FUN_Ctenactis_crassa,Ctenactis crassa,Sesoko-Island_Okinawa,26.654282,1949816.396,14.48324577,24.90274,8.281658017,0.3931716
18,GHT,Gonochore,No,Fungiidae,Ctenactis,FUN_Ctenactis_echinata,Ctenactis echinata,Sesoko-Island_Okinawa,26.654282,9854702.792,16.10345934,24.90274,8.281658017,0.3931716
19,GHT,Gonochore,No,Fungiidae,Danafungia,FUN_Danafungia_horrida,Danafungia horrida,Pioneer-Bay_Orpheus-Island,18.609756,5203720.976,15.4648845,26.12825,6.534270913,1.118393
20,GHT,Gonochore,No,Fungiidae,Lobactis,FUN_Lobactis_scutaria,Lobactis scutaria,Kaneohe-Bay_Hawaii,21.464084,305926.7521,12.63110098,25.41004,1.915151532,0.7905351
21,GHT,Gonochore,No,Fungiidae,Lobactis,FUN_Lobactis_scutaria,Lobactis scutaria,Oahu-Hawaii,21.466977,310339.0877,12.64542081,25.41004,1.915151532,0.7905351
22,GHT,Gonochore,No,Euphylliidae,Galaxea,OCU_Galaxea_fascicularis,Galaxea fascicularis,Central-Great-Barrier-Reef,18.503651,65449846.83,17.99679471,26.24575,3.554597412,0.3615135
23,GHT,Gonochore,No,Euphylliidae,Galaxea,OCU_Galaxea_fascicularis,Galaxea fascicularis,Eilat_Israel,29.509704,32269327.05,17.28962771,24.18318,5.098983997,0.1745565
